Investor,Script,ScriptCode,Shareholding %,marketCap,Amount Invested (in Cr),Total Investment by Shareholder,% allocation of wealth
Estate Of Late Mr. Rakesh Jhunjhunwala,NAZARA,543280,7.23,8477.31,612.909513,17185.573885,3.57
Estate Of Late Mr. Rakesh Jhunjhunwala,GEOJITFSL,532285,7.2,2091.3,150.57360000000003,17185.573885,0.88
Estate Of Late Mr. Rakesh Jhunjhunwala,TITAN,500114,4.07,280860.03,11431.003221,17185.573885,66.52
Estate Of Late Mr. Rakesh Jhunjhunwala,WOCKPHARMA,532300,1.75,24635.87,431.127725,17185.573885,2.51
Estate Of Late Mr. Rakesh Jhunjhunwala,TATAMOTORS,500570,1.3,258732.38,3363.5209400000003,17185.573885,19.57
Estate Of Late Mr. Rakesh Jhunjhunwala,INDHOTEL,500850,1.02,117297.93,1196.438886,17185.573885,6.96
Rekha Jhunjhunwala,DBREALTY,533160,2.79,8171.21,227.976759,5282.8783,4.32
Rekha Jhunjhunwala,DBREALTY,533160,1.86,8171.21,151.984506,5282.8783,2.88
Rekha Jhunjhunwala,TATACOMM,500483,1.58,45869.33,724.7354140000001,5282.8783,13.72
Rekha Jhunjhunwala,TITAN,500114,1.07,280860.03,3005.2023210000007,5282.8783,56.89
Rekha Jhunjhunwala,INDHOTEL,500850,1.0,117297.93,1172.9793,5282.8783,22.2
Mukul Mahavir Agrawal,TAALENT,539956,8.92,932.6,83.18792,2089.734894,3.98
Mukul Mahavir Agrawal,DCAL,540701,5.5,3550.35,195.26925,2089.734894,9.34
Mukul Mahavir Agrawal,ACLGATI,532345,4.76,864.43,41.146868,2089.734894,1.97
Mukul Mahavir Agrawal,INFOBEAN,543644,4.6,767.98,35.32708,2089.734894,1.69
Mukul Mahavir Agrawal,AYMSYNTEX,508933,3.93,1214.73,47.738889,2089.734894,2.28
Mukul Mahavir Agrawal,APOLLOPIPE,531761,3.41,1607.1,54.80210999999999,2089.734894,2.62
Mukul Mahavir Agrawal,PGIL,532808,2.61,5914.61,154.371321,2089.734894,7.39
Mukul Mahavir Agrawal,KINGFA,524019,2.48,3329.53,82.572344,2089.734894,3.95
Mukul Mahavir Agrawal,PDSL,538730,2.46,6444.72,158.54011200000002,2089.734894,7.59
Mukul Mahavir Agrawal,AJMERA,513349,1.93,3795.01,73.243693,2089.734894,3.5
Mukul Mahavir Agrawal,TRACXN,543638,1.89,618.36,11.687004,2089.734894,0.56
Mukul Mahavir Agrawal,PIXTRANS,500333,1.83,2409.96,44.102268,2089.734894,2.11
Mukul Mahavir Agrawal,WSTCSTPAPR,500444,1.51,2858.27,43.159877,2089.734894,2.07
Mukul Mahavir Agrawal,NUVAMA,543988,1.39,22743.15,316.129785,2089.734894,15.13
Mukul Mahavir Agrawal,RAYMONDLSL,544240,1.31,6599.86,86.458166,2089.734894,4.14
Mukul Mahavir Agrawal,QUICKHEAL,539678,1.3,1687.52,21.93776,2089.734894,1.05
Mukul Mahavir Agrawal,ICIL,521016,1.26,5394.01,67.964526,2089.734894,3.25
Mukul Mahavir Agrawal,KIRLFER,500245,1.22,8370.41,102.119002,2089.734894,4.89
Mukul Mahavir Agrawal,SARDAEN,504614,1.19,19141.36,227.782184,2089.734894,10.9
Mukul Mahavir Agrawal,PTCIL,539006,1.07,19733.57,211.149199,2089.734894,10.1
Mukul Mahavir Agrawal,ALLCARGO,532749,1.02,3043.68,31.045536,2089.734894,1.49
Jatinder Agarwal,QUICKHEAL,539678,1.11,1687.52,18.731472,18.731472,100.0
